comparison,q,n,theta,alpha_reference,alpha_ejab,power_reference,power_ejab,risk_reference,risk_ejab,delta_r,normalized_delta_r
berger_p005,1,1000000.0,0.01,0.005000000000000006,6.291730311057762e-05,0.9999999999996833,0.9999999990036834,0.002500000000158431,3.145914971358632e-05,0.0024685408504448447,0.9874163401779379
berger_p005,1,1000000.0,0.05,0.005000000000000006,6.291730311057762e-05,1.0,1.0,0.0025000000000000577,3.1458651555293926e-05,0.002468541348444764,0.9874165393779055
berger_p005,1,1000000.0,0.1,0.005000000000000006,6.291730311057762e-05,1.0,1.0,0.0025000000000000577,3.1458651555293926e-05,0.002468541348444764,0.9874165393779055
berger_p005,1,100000000.0,0.01,0.005000000000000006,5.60692562587344e-06,1.0,1.0,0.0025000000000000577,2.803462812894786e-06,0.002497196537187163,0.9988786148748652
berger_p005,1,100000000.0,0.05,0.005000000000000006,5.60692562587344e-06,1.0,1.0,0.0025000000000000577,2.803462812894786e-06,0.002497196537187163,0.9988786148748652
berger_p005,1,100000000.0,0.1,0.005000000000000006,5.60692562587344e-06,1.0,1.0,0.0025000000000000577,2.803462812894786e-06,0.002497196537187163,0.9988786148748652
berger_p005,1,10000000000.0,0.01,0.005000000000000006,5.1067518433303e-07,1.0,1.0,0.0025000000000000577,2.5533759218099306e-07,0.0024997446624078767,0.9998978649631507
berger_p005,1,10000000000.0,0.05,0.005000000000000006,5.1067518433303e-07,1.0,1.0,0.0025000000000000577,2.5533759218099306e-07,0.0024997446624078767,0.9998978649631507
berger_p005,1,10000000000.0,0.1,0.005000000000000006,5.1067518433303e-07,1.0,1.0,0.0025000000000000577,2.5533759218099306e-07,0.0024997446624078767,0.9998978649631507
berger_p005,1,1000000000000.0,0.01,0.005000000000000006,4.7206409911704344e-08,1.0,1.0,0.0025000000000000577,2.36032049460988e-08,0.0024999763967951116,0.9999905587180447
berger_p005,1,1000000000000.0,0.05,0.005000000000000006,4.7206409911704344e-08,1.0,1.0,0.0025000000000000577,2.36032049460988e-08,0.0024999763967951116,0.9999905587180447
berger_p005,1,1000000000000.0,0.1,0.005000000000000006,4.7206409911704344e-08,1.0,1.0,0.0025000000000000577,2.36032049460988e-08,0.0024999763967951116,0.9999905587180447
berger_p005,3,1000000.0,0.01,0.0050000000000000044,0.001044299950418702,0.9999999999761302,0.9999999995643816,0.0025000000119348442,0.0005221501930186001,0.001977849818916244,0.7911399275664976
berger_p005,3,1000000.0,0.05,0.0050000000000000044,0.001044299950418702,1.0,1.0,0.0024999999999999467,0.000522149975209385,0.0019778500247905617,0.7911400099162247
berger_p005,3,1000000.0,0.1,0.0050000000000000044,0.001044299950418702,1.0,1.0,0.0024999999999999467,0.000522149975209385,0.0019778500247905617,0.7911400099162247
berger_p005,3,100000000.0,0.01,0.0050000000000000044,0.00012371221105901087,1.0,1.0,0.0024999999999999467,6.185610552955634e-05,0.0024381438944703904,0.9752575577881561
berger_p005,3,100000000.0,0.05,0.0050000000000000044,0.00012371221105901087,1.0,1.0,0.0024999999999999467,6.185610552955634e-05,0.0024381438944703904,0.9752575577881561
berger_p005,3,100000000.0,0.1,0.0050000000000000044,0.00012371221105901087,1.0,1.0,0.0024999999999999467,6.185610552955634e-05,0.0024381438944703904,0.9752575577881561
berger_p005,3,10000000000.0,0.01,0.0050000000000000044,1.37899419629163e-05,1.0,1.0,0.0024999999999999467,6.8949709814969395e-06,0.0024931050290184498,0.9972420116073799
berger_p005,3,10000000000.0,0.05,0.0050000000000000044,1.37899419629163e-05,1.0,1.0,0.0024999999999999467,6.8949709814969395e-06,0.0024931050290184498,0.9972420116073799
berger_p005,3,10000000000.0,0.1,0.0050000000000000044,1.37899419629163e-05,1.0,1.0,0.0024999999999999467,6.8949709814969395e-06,0.0024931050290184498,0.9972420116073799
