"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,100,0.65,2000,400,0.004,0.9975,0.0265,1,0.001,0.9925,0.008,0.9975,0.00324999999999998,0.01325,0.00424999999999992,0.00524999999999998,-0.01,-0.00900000000000006,-0.00800000000000001
"anova","One-way ANOVA",3,100,0.691666666666667,2000,400,0.004,0.9975,0.0265,1,0.001,0.99,0.007,1,0.00324999999999998,0.01325,0.00549999999999995,0.00349999999999995,-0.01,-0.00775000000000003,-0.00975000000000004
"anova","One-way ANOVA",3,100,0.733333333333333,2000,400,0.004,1,0.0265,1,0.001,1,0.0065,1,0.002,0.01325,0.000499999999999945,0.00324999999999998,-0.01125,-0.01275,-0.01
"anova","One-way ANOVA",3,100,0.775,2000,400,0.004,1,0.0265,1,0.001,1,0.0055,1,0.002,0.01325,0.000499999999999945,0.00275000000000003,-0.01125,-0.01275,-0.0105
"anova","One-way ANOVA",3,100,0.816666666666667,2000,400,0.004,1,0.0265,1,0.001,1,0.005,1,0.002,0.01325,0.000499999999999945,0.00249999999999995,-0.01125,-0.01275,-0.01075
"anova","One-way ANOVA",3,100,0.858333333333333,2000,400,0.004,1,0.0265,1,0.001,1,0.0045,1,0.002,0.01325,0.000499999999999945,0.00224999999999997,-0.01125,-0.01275,-0.011
"anova","One-way ANOVA",3,100,0.9,2000,400,0.004,1,0.0265,1,0.001,1,0.004,1,0.002,0.01325,0.000499999999999945,0.002,-0.01125,-0.01275,-0.01125
"anova","One-way ANOVA",3,122,0.002,2000,400,0.005,0.0075,0.0295,0.03,5e-04,0.0025,0,0,0.49875,0.49975,0.499,0.5,-0.00100000000000006,-0.000750000000000028,0.000249999999999972
"anova","One-way ANOVA",3,122,0.00258309933002977,2000,400,0.005,0,0.0295,0.035,5e-04,0,0,0,0.5025,0.49725,0.50025,0.5,0.00524999999999992,0.00299999999999995,0.00274999999999997
"anova","One-way ANOVA",3,122,0.00333620107440012,2000,400,0.005,0.0075,0.0295,0.025,5e-04,0.0025,0,0,0.49875,0.50225,0.499,0.5,-0.00350000000000011,-0.00325000000000009,-0.00225000000000009
"anova","One-way ANOVA",3,122,0.00430886938006377,2000,400,0.005,0,0.0295,0.025,5e-04,0,0,0,0.5025,0.50225,0.50025,0.5,0.000249999999999861,-0.00200000000000011,-0.00225000000000009
"anova","One-way ANOVA",3,122,0.00556511880441425,2000,400,0.005,0.0075,0.0295,0.0375,5e-04,0.0025,0,0,0.49875,0.496,0.499,0.5,0.00274999999999992,0.00299999999999995,0.00399999999999995
"anova","One-way ANOVA",3,122,0.00718762732760925,2000,400,0.005,0.0075,0.0295,0.0275,5e-04,0.0025,0,0,0.49875,0.501,0.499,0.5,-0.00225000000000003,-0.002,-0.001
"anova","One-way ANOVA",3,122,0.00928317766722556,2000,400,0.005,0.005,0.0295,0.035,5e-04,0,0,0,0.5,0.49725,0.50025,0.5,0.00274999999999992,0.00299999999999995,0.00274999999999997
"anova","One-way ANOVA",3,122,0.0119896850063788,2000,400,0.005,0.0025,0.0295,0.035,5e-04,0.0025,0,0,0.50125,0.49725,0.499,0.5,0.00399999999999995,0.00174999999999997,0.00274999999999997
"anova","One-way ANOVA",3,122,0.0154852736536225,2000,400,0.005,0.015,0.0295,0.04,5e-04,0,0,0,0.495,0.49475,0.50025,0.5,0.000249999999999917,0.00549999999999995,0.00524999999999998
"anova","One-way ANOVA",3,122,0.02,2000,400,0.005,0.0075,0.0295,0.035,5e-04,0,0,0,0.49875,0.49725,0.50025,0.5,0.00149999999999995,0.00299999999999995,0.00274999999999997
"anova","One-way ANOVA",3,122,0.025,2000,400,0.005,0.0075,0.0295,0.04,5e-04,0,0,0,0.49875,0.49475,0.50025,0.5,0.00399999999999995,0.00549999999999995,0.00524999999999998
"anova","One-way ANOVA",3,122,0.0666666666666667,2000,400,0.005,0.0075,0.0295,0.045,5e-04,0.0025,0,0,0.49875,0.49225,0.499,0.5,0.00649999999999995,0.00674999999999998,0.00774999999999998
"anova","One-way ANOVA",3,122,0.108333333333333,2000,400,0.005,0.03,0.0295,0.12,5e-04,0.01,0.0085,0.0475,0.4875,0.45475,0.49525,0.4805,0.0327499999999999,0.0404999999999999,0.0257499999999999
"anova","One-way ANOVA",3,122,0.15,2000,400,0.005,0.0475,0.0295,0.215,5e-04,0.0175,0.0295,0.2125,0.47875,0.40725,0.4915,0.4085,0.0714999999999999,0.0842499999999999,0.00124999999999997
"anova","One-way ANOVA",3,122,0.191666666666667,2000,400,0.005,0.1,0.0295,0.315,5e-04,0.035,0.0395,0.3725,0.4525,0.35725,0.48275,0.3335,0.0952499999999999,0.1255,-0.02375
"anova","One-way ANOVA",3,122,0.233333333333333,2000,400,0.005,0.215,0.0295,0.455,5e-04,0.105,0.0425,0.53,0.395,0.28725,0.44775,0.25625,0.10775,0.1605,-0.031
"anova","One-way ANOVA",3,122,0.275,2000,400,0.005,0.3775,0.0295,0.655,5e-04,0.225,0.0395,0.6925,0.31375,0.18725,0.38775,0.1735,0.1265,0.2005,-0.01375
"anova","One-way ANOVA",3,122,0.316666666666667,2000,400,0.005,0.5725,0.0295,0.8325,5e-04,0.3475,0.035,0.8575,0.21625,0.0985,0.3265,0.0887499999999999,0.11775,0.228,-0.00975000000000009
"anova","One-way ANOVA",3,122,0.358333333333333,2000,400,0.005,0.7,0.0295,0.885,5e-04,0.5075,0.0305,0.89,0.1525,0.07225,0.2465,0.07025,0.0802499999999999,0.17425,-0.00200000000000006
"anova","One-way ANOVA",3,122,0.4,2000,400,0.005,0.8425,0.0295,0.955,5e-04,0.7,0.0275,0.9425,0.0812499999999999,0.0372500000000001,0.15025,0.0425,0.0439999999999999,0.113,0.00524999999999998
"anova","One-way ANOVA",3,122,0.441666666666667,2000,400,0.005,0.94,0.0295,0.9875,5e-04,0.8425,0.022,0.985,0.0325,0.021,0.079,0.0185,0.0115,0.0579999999999999,-0.0025
"anova","One-way ANOVA",3,122,0.483333333333333,2000,400,0.005,0.965,0.0295,0.9975,5e-04,0.9175,0.017,0.9925,0.02,0.016,0.0415,0.0122499999999999,0.00399999999999995,0.0255,-0.00375000000000009
"anova","One-way ANOVA",3,122,0.525,2000,400,0.005,0.98,0.0295,0.9975,5e-04,0.96,0.0125,0.9925,0.0125,0.016,0.02025,0.00999999999999995,-0.00350000000000006,0.00424999999999998,-0.00600000000000006
"anova","One-way ANOVA",3,122,0.566666666666667,2000,400,0.005,1,0.0295,1,5e-04,0.9875,0.0105,1,0.00249999999999995,0.01475,0.00649999999999995,0.00524999999999998,-0.0122500000000001,-0.00825000000000009,-0.00950000000000006
"anova","One-way ANOVA",3,122,0.608333333333333,2000,400,0.005,1,0.0295,1,5e-04,0.9975,0.0095,1,0.00249999999999995,0.01475,0.00149999999999995,0.00475000000000003,-0.0122500000000001,-0.0132500000000001,-0.01
"anova","One-way ANOVA",3,122,0.65,2000,400,0.005,1,0.0295,1,5e-04,1,0.0085,1,0.00249999999999995,0.01475,0.000249999999999972,0.00424999999999998,-0.0122500000000001,-0.0145000000000001,-0.0105000000000001
"anova","One-way ANOVA",3,122,0.691666666666667,2000,400,0.005,1,0.0295,1,5e-04,1,0.0065,1,0.00249999999999995,0.01475,0.000249999999999972,0.00324999999999998,-0.0122500000000001,-0.0145000000000001,-0.0115000000000001
"anova","One-way ANOVA",3,122,0.733333333333333,2000,400,0.005,1,0.0295,1,5e-04,1,0.0055,1,0.00249999999999995,0.01475,0.000249999999999972,0.00275000000000003,-0.0122500000000001,-0.0145000000000001,-0.012
"anova","One-way ANOVA",3,122,0.775,2000,400,0.005,1,0.0295,1,5e-04,1,0.005,1,0.00249999999999995,0.01475,0.000249999999999972,0.00249999999999995,-0.0122500000000001,-0.0145000000000001,-0.0122500000000001
"anova","One-way ANOVA",3,122,0.816666666666667,2000,400,0.005,1,0.0295,1,5e-04,1,0.005,1,0.00249999999999995,0.01475,0.000249999999999972,0.00249999999999995,-0.0122500000000001,-0.0145000000000001,-0.0122500000000001
"anova","One-way ANOVA",3,122,0.858333333333333,2000,400,0.005,1,0.0295,1,5e-04,1,0.0045,1,0.00249999999999995,0.01475,0.000249999999999972,0.00224999999999997,-0.0122500000000001,-0.0145000000000001,-0.0125000000000001
"anova","One-way ANOVA",3,122,0.9,2000,400,0.005,1,0.0295,1,5e-04,1,0.004,1,0.00249999999999995,0.01475,0.000249999999999972,0.002,-0.0122500000000001,-0.0145000000000001,-0.01275
"anova","One-way ANOVA",3,149,0.002,2000,400,0.0055,0.01,0.035,0.0325,5e-04,0,0,0,0.49775,0.50125,0.50025,0.5,-0.00349999999999995,-0.001,-0.00124999999999997
"anova","One-way ANOVA",3,149,0.00258309933002977,2000,400,0.0055,0,0.035,0.0175,5e-04,0,0,0,0.50275,0.50875,0.50025,0.5,-0.00599999999999989,-0.00849999999999995,-0.00874999999999992
"anova","One-way ANOVA",3,149,0.00333620107440012,2000,400,0.0055,0.0075,0.035,0.0425,5e-04,0.005,0,0,0.499,0.49625,0.49775,0.5,0.00275000000000009,0.0015,0.00375000000000003
"anova","One-way ANOVA",3,149,0.00430886938006377,2000,400,0.0055,0.005,0.035,0.035,5e-04,0.005,0,0,0.50025,0.5,0.49775,0.5,0.000250000000000139,-0.00224999999999997,5.55111512312578e-17
"anova","One-way ANOVA",3,149,0.00556511880441425,2000,400,0.0055,0.0025,0.035,0.0175,5e-04,0,0,0,0.5015,0.50875,0.50025,0.5,-0.00724999999999987,-0.00849999999999995,-0.00874999999999992
"anova","One-way ANOVA",3,149,0.00718762732760925,2000,400,0.0055,0.01,0.035,0.04,5e-04,0,0,0,0.49775,0.4975,0.50025,0.5,0.000250000000000083,0.00275000000000003,0.00250000000000006
"anova","One-way ANOVA",3,149,0.00928317766722556,2000,400,0.0055,0.005,0.035,0.0175,5e-04,0.0025,0,0,0.50025,0.50875,0.499,0.5,-0.00849999999999984,-0.00974999999999993,-0.00874999999999992
"anova","One-way ANOVA",3,149,0.0119896850063788,2000,400,0.0055,0.01,0.035,0.045,5e-04,0.0025,0,0,0.49775,0.495,0.499,0.5,0.00275000000000009,0.00400000000000006,0.00500000000000006
