"rows","columns","table_label","table_plot_label","q","n","w","critical_tsbf_estimated_omega","alpha_p05","alpha_ejab","alpha_tsbf","alpha_tsbf_estimated_omega","power_p05","power_ejab","power_tsbf","power_tsbf_estimated_omega","beta_p05","beta_ejab","beta_tsbf","beta_tsbf_estimated_omega","risk_p05","risk_ejab","risk_tsbf","risk_tsbf_estimated_omega","delta_p05_minus_ejab","delta_tsbf_minus_ejab","delta_tsbf_estimated_omega_minus_ejab"
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.001,2.39304125201973,0.05,0.0606880790874328,0.31730445870671,0.121876320119469,0.0500034365141854,0.060691944369525,0.31731171779215,0.121881915935765,0.949996563485815,0.939308055630475,0.68268828220785,0.878118084064235,0.499998281742907,0.499998067358954,0.49999637045728,0.499997202091852,2.14383953367481e-07,-1.6969016734536e-06,-8.65267102301281e-07
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00125915510457657,2.39304125201973,0.05,0.0606880790874328,0.317300917201563,0.121876320119469,0.0500054485022773,0.0606942073869798,0.317312426241512,0.121885192119278,0.949994551497723,0.93930579261302,0.682687573758488,0.878114807880722,0.499997275748861,0.499996935850227,0.499994245480025,0.499995564000095,3.39898634793556e-07,-2.69037020117491e-06,-1.37185013132646e-06
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00158547157738124,2.39304125201973,0.05,0.0606880790874328,0.317295302403043,0.121876320119469,0.0500086384623675,0.060697795343872,0.317313549574069,0.121890386403188,0.949991361537633,0.939302204656128,0.682686450425931,0.878109613596812,0.499995680768816,0.49999514187178,0.499990876414487,0.49999296685814,5.38897035828878e-07,-4.26545729359518e-06,-2.17501364013772e-06
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00199635462982066,2.39304125201973,0.05,0.0606880790874328,0.317286400694793,0.121876320119469,0.0500136960789553,0.0607034839652395,0.317315330852913,0.1218986217627,0.949986303921045,0.93929651603476,0.682684669147087,0.8781013782373,0.499993151960522,0.499992297561097,0.49998553492094,0.499988849178384,8.54399425653796e-07,-6.76264015647687e-06,-3.44838271221226e-06
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00251372012268376,2.39304125201973,0.05,0.0606880790874328,0.317272288282751,0.121876320119469,0.0500217148504812,0.0607125031572068,0.31731815569095,0.121911678615741,0.949978285149519,0.939287496842793,0.68268184430905,0.878088321384259,0.499989142574759,0.499987787965113,0.499977066295901,0.499982320751864,1.35460964639789e-06,-1.07216692125101e-05,-5.46721324917732e-06
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.0031651635239541,2.39304125201973,0.05,0.0606880790874328,0.31724991595129,0.121876320119469,0.0500344285461304,0.0607268029415061,0.317322636077774,0.121932379695601,0.94996557145387,0.939273197058494,0.682677363922226,0.878067620304399,0.499982785726935,0.499980638072963,0.499963639936758,0.499971970211934,2.14765397144046e-06,-1.69981362053706e-05,-8.66786102965422e-06
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00398543180800638,2.39304125201973,0.05,0.0606880790874328,0.317214451530299,0.121876320119469,0.0500545861546629,0.0607494751240191,0.317329743841115,0.121965200192893,0.949945413845337,0.939250524875981,0.682670256158885,0.878034799807107,0.499972706922669,0.499969301981707,0.499942353844592,0.499955559963288,3.40494096168209e-06,-2.69481371149571e-05,-1.37420184193604e-05
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00501827680499307,2.39304125201973,0.05,0.0606880790874328,0.317158239465984,0.121876320119469,0.0500865464890166,0.0607854219310038,0.317341023642366,0.122017234960732,0.949913453510983,0.939214578068996,0.682658976357634,0.877982765039268,0.499956726755492,0.499951328578215,0.499908607911809,0.499929542579368,5.39817727718273e-06,-4.27206664054824e-05,-2.17859988461133e-05
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00631878885518524,2.39304125201973,0.05,0.0606880790874328,0.317069156447793,0.121876320119469,0.0501372212513264,0.0608424163456987,0.317358934175722,0.122099731594833,0.949862778748674,0.939157583654301,0.682641065824278,0.877900268405167,0.499931389374337,0.499922831370867,0.499855111136035,0.499888294262318,8.55800346971636e-06,-6.7720234831925e-05,-3.45371085495039e-05
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.00795633524174805,2.39304125201973,0.05,0.0606880790874328,0.316928017339829,0.121876320119469,0.0502175710801146,0.0609327838262218,0.317387397894449,0.122230520091864,0.949782428919885,0.939067216173778,0.682612602105551,0.877769479908136,0.499891214459943,0.499877647630606,0.49977030972269,0.499822900013802,1.35668293371749e-05,-0.000107337907915506,-5.47476168034078e-05
