"rows","columns","table_label","q","grid_cells","same_lower_risk_rule","both_favor_ejab","both_favor_reference","p05_only_favors_ejab","tsbf_only_favors_ejab"
2,2,"2 x 2 (q=1)",1,7280,0.196565934065934,0.0332417582417582,0.163324175824176,0.79945054945055,0.00398351648351648
3,3,"3 x 3 (q=4)",4,7280,0.365934065934066,0.0166208791208791,0.349313186813187,0.633791208791209,0.000274725274725275
5,5,"5 x 5 (q=16)",16,7280,0.843818681318681,0.00686813186813187,0.83695054945055,0.156181318681319,0
